species,unique_gene_identifiers,other_gene_identifiers,gene_models,descriptions,annotations,sources
osa,WAF1|Os07g0164000,Wavy Leaf,Os07g0164000,,PO:0025025|PATO:0000574|PO:0028002,Plant PhenomeNET
osa,WAF1|Os07g0164000,Wavy Leaf,Os07g0164000,,PO:0000003|PATO:0002001|PO:0020121|PO:0028002,Plant PhenomeNET
osa,WAF1|Os07g0164000,Wavy Leaf,Os07g0164000,,PO:0009049|PATO:0000574|PO:0028002,Plant PhenomeNET
osa,WAF1|Os07g0164000,Wavy Leaf,Os07g0164000,,PO:0009055|PATO:0001154|PO:0028002,Plant PhenomeNET
osa,WAF1|Os07g0164000,Wavy Leaf,Os07g0164000,,PO:0009051|PATO:0000051|PATO:0000460|PO:0028002,Plant PhenomeNET
osa,WAF1|Os07g0164000,Wavy Leaf,Os07g0164000,,PO:0000003|PATO:0002001|PO:0025395|PO:0028002,Plant PhenomeNET
osa,WAF1|Os07g0164000,Wavy Leaf,Os07g0164000,,PO:0000003|PATO:0000956|PO:0028002,Plant PhenomeNET
ath,FAD3|At2g29980,Fatty Acid Desaturase,At2g29980,,PO:0000003|PATO:0000025|PATO:0000460|CHEBI:35366,Plant PhenomeNET
ath,CYP86B1|At5g23190,Cytochrome P450,At5g23190,,PO:0000003|PATO:0000025|PATO:0000460|CHEBI:35366,Plant PhenomeNET
ath,FAD4|At4g27030,Fatty Acid Desaturase,At4g27030,,PO:0000003|PATO:0000025|PATO:0000460|CHEBI:35366,Plant PhenomeNET
ath,FAD4|At4g27030,Fatty Acid Desaturase,At4g27030,,PO:0000003|PATO:0001162|CHEBI:15756,Plant PhenomeNET
ath,At1g10310,,At1g10310,,PO:0000003|PATO:0000033|PATO:0000460|CHEBI:35366,Plant PhenomeNET
ath,ANT|At4g37750,Aintegumenta,At4g37750,,GO:0009908|PATO:0001236|PATO:0000460,Plant PhenomeNET
ath,ANT|At4g37750,Aintegumenta,At4g37750,,GO:0048481|PATO:0001236|PATO:0000460,Plant PhenomeNET
ath,PRS|At2g28610,Pressed Flower,At2g28610,,PO:0009046|PATO:0000051|PATO:0000460,Plant PhenomeNET
ath,ETT|At2g33860,Ettin,At2g33860,,PO:0009046|PATO:0000051|PATO:0000460,Plant PhenomeNET
ath,TSL|At5g20930,Tousled,At5g20930,,PO:0009046|PATO:0000051|PATO:0000460,Plant PhenomeNET
ath,SAP|At5g35770,Sterile Apetala,At5g35770,,PO:0009046|PATO:0000051|PATO:0000460,Plant PhenomeNET
ath,OLEO2|At5g40420,Oleosin-deficient mutant,At5g40420,,GO:0009845|PATO:0001236|PATO:0000460,Plant PhenomeNET
ath,OLEO2|At5g40420,Oleosin-deficient mutant,At5g40420,,GO:0012511|PATO:0000586,Plant PhenomeNET
ath,TASTY|At1g54040,Tasty,At1g54040,,PO:0000003|PATO:0000025|PATO:0000460|CHEBI:24279,Plant PhenomeNET
ath,IMD1|At5g14200,,At5g14200,,PO:0000003|PATO:0000025|PATO:0000460|CHEBI:24279,Plant PhenomeNET
ath,MAM1|At5g23010,Methylthioalkylmalate Synthase,At5g23010,,PO:0000003|PATO:0000025|PATO:0000460|CHEBI:24279,Plant PhenomeNET
ath,ZIG|At5g39510,Zigzag Stem,At5g39510,,GO:0009630|PO:0020100|PATO:0001236|PATO:0000460,Plant PhenomeNET
ath,ZIG|At5g39510,Zigzag Stem,At5g39510,,GO:0009959|PO:0009006|PATO:0001236|PATO:0000460,Plant PhenomeNET
ath,SGR2|At1g31480,Shoot Gravitropism,At1g31480,,GO:0009630|PO:0020100|PATO:0001236|PATO:0000460,Plant PhenomeNET
ath,SGR2|At1g31480,Shoot Gravitropism,At1g31480,,GO:0009959|PO:0009006|PATO:0001236|PATO:0000460,Plant PhenomeNET
ath,TIR1|At3g62980,Transport Inhibitor Response,At3g62980,,GO:0032502|PO:0020100|PATO:0001236|PATO:0000460,Plant PhenomeNET
ath,TIR1|At3g62980,Transport Inhibitor Response,At3g62980,,GO:0010311|PATO:0001236|PATO:0000460,Plant PhenomeNET
ath,TIR1|At3g62980,Transport Inhibitor Response,At3g62980,,PO:0000003|PATO:0000513|CHEBI:22676|EO:0007074,Plant PhenomeNET
ath,NEK6|At3g44200,"NIMA (Never In Mitosis, Gene A)-Related",At3g44200,,PO:0020100|PATO:0000051|PATO:0000460,Plant PhenomeNET
ath,NEK6|At3g44200,"NIMA (Never In Mitosis, Gene A)-Related",At3g44200,,PO:0020038|PATO:0000051|PATO:0000460,Plant PhenomeNET
ath,NEK6|At3g44200,"NIMA (Never In Mitosis, Gene A)-Related",At3g44200,,PO:0000282|PATO:0002009|PATO:0000460,Plant PhenomeNET
ath,NEK6|At3g44200,"NIMA (Never In Mitosis, Gene A)-Related",At3g44200,,PO:0009002|PO:0006036|PATO:0000937,Plant PhenomeNET
ath,ARG1|At1g68370,Altered Response to Gravity,At1g68370,,GO:0009630|PO:0020100|PATO:0001236|PATO:0000460,Plant PhenomeNET
ath,ARG1|At1g68370,Altered Response to Gravity,At1g68370,,GO:0009958|PO:0009005|PATO:0001236|PATO:0000460,Plant PhenomeNET
ath,PIN5|At5g16530,Pin Formed,At5g16530,,GO:0040007|PO:0020100|PATO:0001236|PATO:0000460,Plant PhenomeNET
ath,PIN5|At5g16530,Pin Formed,At5g16530,,GO:0048364|PATO:0001236|PATO:0000460,Plant PhenomeNET
ath,PIN5|At5g16530,Pin Formed,At5g16530,,PO:0000003|PATO:0000513|CHEBI:16411|EO:0007074,Plant PhenomeNET
ath,PIL1|At2g46970,Phytochrome Interacting Factor 3-Like,At2g46970,,PO:0020030|PATO:0000117|PATO:0000460|EO:0007203,Plant PhenomeNET
ath,PIL1|At2g46970,Phytochrome Interacting Factor 3-Like,At2g46970,,PO:0020030|PATO:0000117|PATO:0000460|EO:0007207,Plant PhenomeNET
ath,PIL1|At2g46970,Phytochrome Interacting Factor 3-Like,At2g46970,,PO:0020100|PATO:0000122|PATO:0000460|EO:0007203,Plant PhenomeNET
ath,PIL1|At2g46970,Phytochrome Interacting Factor 3-Like,At2g46970,,PO:0020100|PATO:0000122|PATO:0000460|EO:0007207,Plant PhenomeNET
ath,GPAT5|At3g11430,Glycerol-3-Phosphate Acyltransferase,At3g11430,,GO:0009058|CHEBI:60160|PATO:0001236|PATO:0000460,Plant PhenomeNET
ath,INO|At1g23420,Inner No Outer,At1g23420,,PO:0020021|PATO:0000051|PATO:0000460,Plant PhenomeNET
ath,BEL1|At5g41410,Bell-Shaped Ovules,At5g41410,,PO:0020021|PATO:0000051|PATO:0000460,Plant PhenomeNET
ath,HLL|At1g17560,Huellenlos,At1g17560,,PO:0020021|PATO:0000051|PATO:0000460,Plant PhenomeNET
ath,HLL|At1g17560,Huellenlos,At1g17560,,PO:0009062|PATO:0000277|PATO:0000462,Plant PhenomeNET
ath,SUR1|At2g20610,Super Root,At2g20610,,GO:0010311|PATO:0001236|PATO:0000460,Plant PhenomeNET
ath,PUCHI|At5g18560,,At5g18560,,GO:0010311|PATO:0001236|PATO:0000460,Plant PhenomeNET
ath,RFC3|At3g17170,Regulator of Fatty-Acid Composition,At3g17170,,GO:0010311|PATO:0001236|PATO:0000460|EO:0001015,Plant PhenomeNET
ath,MYB77|At3g50060,MYB Domain Protein,At3g50060,,PO:0025025|PATO:0002083|PO:0020121|EO:0007074,Plant PhenomeNET
ath,NHX1|At5g27150,Na+/H+ Exchanger,At5g27150,,GO:0010338|PATO:0001236|PATO:0000460,Plant PhenomeNET
ath,PLL5|At1g07630,POL-Like,At1g07630,,PO:0009025|PATO:0000051|PATO:0000460,Plant PhenomeNET
ath,PLL4|At2g28890,Poltergeist Like,At2g28890,,PO:0009025|PATO:0000051|PATO:0000460,Plant PhenomeNET
ath,LMI1|At5g03790,Late Meristem Identity,At5g03790,,PO:0009025|PATO:0000051|PATO:0000460,Plant PhenomeNET
ath,LMI1|At5g03790,Late Meristem Identity,At5g03790,,PO:0000014|PATO:0001786,Plant PhenomeNET
ath,EIN4|At3g04580,Ethylene Insensitive,At3g04580,,PO:0009025|PATO:0000051|PATO:0000460,Plant PhenomeNET
ath,EIN4|At3g04580,Ethylene Insensitive,At3g04580,,PO:0000003|PATO:0000513|CHEBI:18153|EO:0007068,Plant PhenomeNET
ath,FRO1|At5g67590,Frostbite,At5g67590,,PO:0009025|PATO:0000051|PATO:0000460,Plant PhenomeNET
ath,FRO1|At5g67590,Frostbite,At5g67590,,GO:0009631|PATO:0000911,Plant PhenomeNET
ath,GTE6|At3g52280,General Transcription Factor Group E6,At3g52280,,PO:0009025|PATO:0000051|PATO:0000460,Plant PhenomeNET
ath,JAG|At1g68480,Jagged,At1g68480,,PO:0009025|PATO:0000051|PATO:0000460,Plant PhenomeNET
ath,JAG|At1g68480,Jagged,At1g68480,,PO:0009032|PATO:0000051|PATO:0000460,Plant PhenomeNET
ath,JAG|At1g68480,Jagged,At1g68480,,PO:0009031|PATO:0000051|PATO:0000460,Plant PhenomeNET
ath,JAG|At1g68480,Jagged,At1g68480,,PO:0009029|PATO:0000051|PATO:0000460,Plant PhenomeNET
ath,WEB2|At1g66840,Weak Chloroplast Movement Under Blue Light,At1g66840,,GO:0009507|PATO:0001906|PATO:0000460|EO:0007196,Plant PhenomeNET
ath,WEB1|At2g26570,Weak Chloroplast Movement Under Blue Light,At2g26570,,GO:0009507|PATO:0001906|PATO:0000460|EO:0007196,Plant PhenomeNET
ath,AtK5|At4g05190,Kinesin,At4g05190,,GO:0072686|PATO:0001241|PATO:0000460,Plant PhenomeNET
ath,ALG3|At2g47760,Asparagine-Linked Glycosylation,At2g47760,,PO:0000003|PATO:0000025|PATO:0000460|CHEBI:59520,Plant PhenomeNET
ath,AGO9|At5g21150,Argonaute,At5g21150,,PO:0020003|PATO:0000051|PATO:0000460,Plant PhenomeNET
ath,AGO9|At5g21150,Argonaute,At5g21150,,PO:0020003|PATO:0000051|PATO:0000460,Plant PhenomeNET
ath,RBE|At5g06070,Rabbit Ears,At5g06070,,PO:0009032|PATO:0000051|PATO:0000460,Plant PhenomeNET
ath,PMEAMT|At1g48600,Phosphoethanolamine N-Methyltrasnferase,At1g48600,,PO:0000003|PATO:0000033|PATO:0000460|CHEBI:15958,Plant PhenomeNET
ath,APE1|At5g38660,Acclimation of Photosynthesis to Environment,At5g38660,,GO:0009643|PATO:0001236|PATO:0000460,Plant PhenomeNET
ath,APE2|At5g46110,Acclimation of Photosynthesis to Environment,At5g46110,,GO:0009643|PATO:0001236|PATO:0000460,Plant PhenomeNET
ath,NGA3|At1g01030,Ngatha,At1g01030,,PO:0009062|PATO:0000051|PATO:0000460,Plant PhenomeNET
ath,CLV2|At1g65380,Clavata,At1g65380,,GO:0032502|PO:0009052|PATO:0001236|PATO:0000460,Plant PhenomeNET
ath,CLV2|At1g65380,Clavata,At1g65380,,GO:0048467|PATO:0001236|PATO:0000460,Plant PhenomeNET
ath,CLV2|At1g65380,Clavata,At1g65380,,GO:0048443|PATO:0001236|PATO:0000460,Plant PhenomeNET
ath,CLV2|At1g65380,Clavata,At1g65380,,GO:0010228|PATO:0000694|EO:0007200,Plant PhenomeNET
ath,CLV2|At1g65380,Clavata,At1g65380,,PO:0009053|PATO:0000949|EO:0007200,Plant PhenomeNET
ath,CLV2|At1g65380,Clavata,At1g65380,,PO:0009053|PATO:0000949|EO:0007200,Plant PhenomeNET
ath,CLV2|At1g65380,Clavata,At1g65380,,PO:0000229|PATO:0000586,Plant PhenomeNET
ath,CLV2|At1g65380,Clavata,At1g65380,,PO:0006079|PATO:0000586,Plant PhenomeNET
ath,DEL1|At3g48160,DP-E2F-Like 1,At3g48160,,GO:0090485|PATO:0001236|PATO:0000460,Plant PhenomeNET
ath,LAP6|At1g02050,Less Adhesive Pollen,At1g02050,,PO:0020008|PATO:0000051|PATO:0000460,Plant PhenomeNET
ath,TKPR2|At1g68540,Tetraketide Alpha-Pyrone Reductase,At1g68540,,PO:0020008|PATO:0000051|PATO:0000460,Plant PhenomeNET
ath,KOM|At1g77860,Kompeito,At1g77860,,PO:0020008|PATO:0000051|PATO:0000460,Plant PhenomeNET
ath,DEX1|At3g09090,Defective in Exine Patterning,At3g09090,,PO:0020008|PATO:0000051|PATO:0000460,Plant PhenomeNET
ath,LAP5|At4g34850,Less Adhesive Pollen,At4g34850,,PO:0020008|PATO:0000051|PATO:0000460,Plant PhenomeNET
ath,AtSPS2F|At5g11110,Sucrose Phosphate Synthase,At5g11110,,PO:0020008|PATO:0000051|PATO:0000460,Plant PhenomeNET
ath,CYP704B1|At1g69500,Cytochrome P450,At1g69500,,PO:0020008|PATO:0000051|PATO:0000460,Plant PhenomeNET
ath,bZIP34|At2g42380,,At2g42380,,PO:0020008|PATO:0000051|PATO:0000460,Plant PhenomeNET
ath,bZIP34|At2g42380,,At2g42380,,PO:0025281|PATO:0000051|PATO:0000460,Plant PhenomeNET
ath,TAM1|At1g77390,Tardy Asynchronous Meiosis,At1g77390,,GO:0009555|PO:0000032|PATO:0001236|PATO:0000460,Plant PhenomeNET
ath,TAM1|At1g77390,Tardy Asynchronous Meiosis,At1g77390,,GO:0051321|PATO:0000502,Plant PhenomeNET
ath,PPME1|At1g69940,Pollen Pectin Methylesterase,At1g69940,,GO:0009860|PATO:0001236|PATO:0000460,Plant PhenomeNET
ath,NPQ1|At1g08550,Nonphotochemical Quenching Defective,At1g08550,,GO:0010196|PATO:0001236|PATO:0000460,Plant PhenomeNET
ath,AGR1|At5g57090,Agravitropic,At5g57090,,GO:0009630|PO:0020100|PATO:0001236|PATO:0000460,Plant PhenomeNET
ath,AGR1|At5g57090,Agravitropic,At5g57090,,GO:0009958|PO:0009005|PATO:0001236|PATO:0000460,Plant PhenomeNET
ath,DRL1|At1g13870,Deformed Roots and Leaves,At1g13870,,GO:0010338|PATO:0001236|PATO:0000460,Plant PhenomeNET
ath,DRL1|At1g13870,Deformed Roots and Leaves,At1g13870,,GO:0048364|PATO:0001236|PATO:0000460,Plant PhenomeNET
ath,AGG2|At3g22942,G-Protein Gamma Subunit,At3g22942,,PO:0025025|PATO:0000060|PATO:0000460,Plant PhenomeNET
ath,AGG2|At3g22942,G-Protein Gamma Subunit,At3g22942,,GO:0010540|PATO:0000911,Plant PhenomeNET
ath,AGG1|At3g63420,G-Protein Gamma Subunit,At3g63420,,PO:0025025|PATO:0000060|PATO:0000460,Plant PhenomeNET
ath,AGG1|At3g63420,G-Protein Gamma Subunit,At3g63420,,GO:0010540|PATO:0000912,Plant PhenomeNET
ath,ANL2|At4g00730,Anthocyaninless,At4g00730,,PO:0025025|PATO:0000060|PATO:0000460,Plant PhenomeNET
ath,ANL2|At4g00730,Anthocyaninless,At4g00730,,PO:0000003|PATO:0001163|CHEBI:38697,Plant PhenomeNET
ath,RCD1|At1g32230,Radical-Induced Cell Death,At1g32230,,PO:0025025|PATO:0000060|PATO:0000460,Plant PhenomeNET
ath,RCD1|At1g32230,Radical-Induced Cell Death,At1g32230,,GO:0010228|PATO:0000694,Plant PhenomeNET
ath,RCD1|At1g32230,Radical-Induced Cell Death,At1g32230,,PO:0009025|PATO:0000646,Plant PhenomeNET
ath,RCD1|At1g32230,Radical-Induced Cell Death,At1g32230,,GO:0010224|PATO:0001552|EO:0007001,Plant PhenomeNET
ath,RCD1|At1g32230,Radical-Induced Cell Death,At1g32230,,PO:0000003|PATO:0000969,Plant PhenomeNET
ath,RCD1|At1g32230,Radical-Induced Cell Death,At1g32230,,PO:0000003|PATO:0001549|CHEBI:25812|EO:0001021,Plant PhenomeNET
ath,RCD1|At1g32230,Radical-Induced Cell Death,At1g32230,,PO:0009032|PATO:0000587,Plant PhenomeNET
ath,SMB|At1g79580,Sombrero,At1g79580,,PO:0009002|PO:0020123|PATO:0000051|PATO:0000460,Plant PhenomeNET
ath,AtPDR2|At4g15230,Pleiotropic Drug Resistance,At4g15230,,GO:0046903|PO:0025025|PATO:0001236|PATO:0000460,Plant PhenomeNET
ath,AtEB1a|At3g47690,End Binding,At3g47690,,GO:0009958|PO:0009005|PATO:0001236|PATO:0000460,Plant PhenomeNET
ath,AtEB1B|At5g62500,END Binding Protein,At5g62500,,GO:0009958|PO:0009005|PATO:0001236|PATO:0000460,Plant PhenomeNET
ath,AtEB1a|At3g47690,End Binding,At3g47690,,GO:0009652|PO:0025025|PATO:0001236|PATO:0000460,Plant PhenomeNET
ath,AtEB1B|At5g62500,END Binding Protein,At5g62500,,GO:0009652|PO:0025025|PATO:0001236|PATO:0000460,Plant PhenomeNET
ath,PIN3|At1g70940,Pin-Formed,At1g70940,,GO:0009638|PATO:0001236|PATO:0000460,Plant PhenomeNET
ath,PIN3|At1g70940,Pin-Formed,At1g70940,,GO:0009958|PO:0009005|PATO:0001236|PATO:0000460,Plant PhenomeNET
