species,group_ids,gene_identifiers
ath,S,At1g06950|TIC110|Translocon at Inner Envelope Membrane of Chloroplasts
ath,V,At1g07130|STN1|Arabidopsis Ortholog of Yeast STN1
ath,S,At1g07320|EMB2784|Embryo Defective
ath,V,At1g07360|MAC5A|MOS4-Associated Complex Subunit
ath,H,At1g07530|SCL14|GRAS2|Scarecrow-Like
ath,V,At1g07630|PLL5|POL-Like
ath,V,At1g07890|APX1|Ascorbate Peroxidase
ath,P,At1g07930|eEF1A2|Eukaryotic Elongation Factor
ath,V,At1g08030|TPST|Tyrosylprotein Sulfotransferase
ath,B,At1g08060|MOM|Maintenance of Methylation
ath,B,At1g08090|NRT2|LIN1|Nitrate Transport Defective
ath,S,At1g08130|LIG1|DNA Ligase
ath,L,At1g08190|AtVPS41|ZIP2
ath,S,At1g08260|EMB2284|TIL1|EMB529|AtPOL2a|ABO4|ESD7|Embryo Defective
ath,L,At1g08370|DCP1|Decapping
ath,H,At1g08430|ALMT1|Aluminum-Activated Malate Transporter
ath,I,At1g08450|CRT3|EBS2|PSL1|Calreticulin
ath,S,At1g08510|FATB|Fatty Acyl-ACP Thioesterase B
ath,L,At1g08520|PDE166|CHLD|Pigment Defective Embryo
ath,V,At1g08540|ABC1|SIG2|Aberrant Chloroplasts
ath,B,At1g08550|NPQ1|AVDE1|Nonphotochemical Quenching Defective
ath,S,At1g08560|KN|SYP111|Knolle
ath,B,At1g08630|THA1|Threonine Aldolase
ath,G,At1g08660|MGP2|Male Gametophyte Defective
ath,I,At1g08720|EDR1|Enhanced Disease Resistance
ath,C,At1g08810|MYB60|MYB Domain Protein
ath,S,At1g08840|EMB2411|DNA2|Embryo Defective
ath,V,At1g09090|AtrbohB|Respiratory Burst Oxidase Homolog
ath,H,At1g09100|RPT5B
ath,V,At1g09210|CRT1b|Calreticulin
ath,I,At1g09270|IMPA-4|Importin Alpha Isoform
ath,V,At1g09530|PIF3|PAP3|POC1|Phytochrome Interacting Factor
ath,R,At1g09540|MYB61|MYB Gene Knockout
ath,P,At1g09570|FHY2|PHYA|HY8|Long Hypocotyl in Far-Red Light
ath,V,At1g09700|HYL1|DRB1|Hyponastic Leaves
ath,S,At1g09770|AtCDC5|Cell Division Cycle
ath,B,At1g09940|HEMA2
ath,V,At1g09970|RLK7|Receptor-Like Kinase
ath,H,At1g10130|ECA3|ER-Type Calcium Transporting ATPase
ath,I,At1g10170|AtNFXL1|NF-X-Like
ath,S,At1g10270|GRP23|Glutamine Rich Protein
ath,B,At1g10310
ath,P,At1g10370|AtGSTU17|ERD9|Glutathione S-Transferase
ath,P,At1g10470|ARR4|MEE7|Response Regulator
ath,S,At1g10510|EMB2004|Embryo Defective
ath,B,At1g10760|SEX1|GWD1|SOP1|Starch Excess
ath,L,At1g10840|eIF3h|TIF3H1|Eukaryotic Initiation Factor
ath,S,At1g10910|EMB3103|Embryo Defective
ath,I,At1g10920|LOV1|Locus Orchestrating Victorin Effects
ath,H,At1g10930|RECQ4A
ath,P,At1g11000|MLO4|Mildew Resistance Locus O
ath,V,At1g11130|SUB|Strubbelig
ath,I,At1g11310|MLO2|PMR2|Mildew Resistance Locus
ath,I,At1g11350|CBRLK1|Calmodulin-Binding Receptor-Like Kinase
ath,S,At1g11680|EMB1738|CYP51|Embryo Defective
ath,B,At1g11720|AtSS3|Starch Synthase
ath,L,At1g11755|LEW1|Leaf Wilting
ath,G,At1g11870|OVA7|Ovule Abortion
ath,G,At1g11890|SEC22|Secretion
ath,C,"At1g12040|LRX1|Leucine-Rich Repeat, Extensin Protein"
ath,B,At1g12110|CHL1|NRT1|Chlorate Resistant
ath,I,At1g12220|RPS5|Resistant to P. syringae
ath,V,At1g12240|VAC-INV|Vacuolar Invertase
ath,S,At1g12260|EMB2749|Embryo Defective
ath,S,At1g12360|KEU|Keule
ath,P,At1g12370|UVR2|PHR1|UV Repair Defective
ath,S,At1g12410|CLPR2|Clp Protease
ath,H,At1g12480|OZS1|Ozone Sensitive
ath,B,At1g12550|HPR3|Hydroxypyruvate Reductase
ath,S,At1g12770|EMB1586|ISE1|Embryo Defective
ath,P,At1g12840|DET3|VHA-C|De-etiolated
ath,H,At1g12920|eRF1-2|Eukaryotic Release Factor
ath,C,At1g12950|RHS2|Root Hair Specific
ath,V,At1g12980|DRN|ESR1|Dornroschen
ath,C,At1g13220|LINC2|Little Nuclei
ath,I,At1g13230|PII2|Piriformospora indica Insensitive
ath,V,At1g13290|DOT5|Defectively Organized Tributaries
ath,R,At1g13330|AHP2|Arabidopsis Homolog Pairing
ath,V,At1g13870|DRL1|KTI12|Deformed Roots and Leaves
ath,H,At1g13930|ST6-66
ath,S,At1g13980|EMB30|GN|VAN7|Embryo Defective
ath,C,At1g14000|VIK|VH1-Interacting Kinase
ath,B,At1g14150|PQL1|PsbQ-Like
ath,P,At1g14280|PKS2|Phytochrome Kinase Substrate
ath,G,At1g14320|SAC52|Suppressor of Acaulis
ath,C,At1g14350|FLP|MYB124|Four Lips
ath,V,At1g14400|UBC1|Ubiquitin Carrier Protein
ath,G,At1g14610|TWN2|ValRS|Twin
ath,H,At1g14660|AtNHX8|Sodium Hydrogen Exchanger
ath,R,At1g14720|XTH28|Xyloglucan Endotransglucosylase/Hydrolases
ath,R,At1g14750|SDS|Solo Dancers
ath,G,At1g14830|ADL1C|ADL5|DRP1C|Arabidopsis Dynamin-Like Protein
ath,H,At1g14870|PCR2|Plant Cadmium Resistance
ath,H,At1g14920|GAI|RGA2|GA-Insensitive
ath,H,At1g15020|QSO2|Quiescin-Sulhydryl Oxidase
ath,H,At1g15100|RHA2a|RING-H2 Finger
ath,S,At1g15220|AtCCMH|Cytochrome C Maturation
ath,L,At1g15510|ECB2|Early Chloroplast Biogenesis
ath,P,At1g15520|ABCG40|PDR12|ATP-Binding Cassette
ath,V,At1g15550|GA4|GA3ox1|GA Deficient
ath,C,At1g15570|CYCA2;3|Cyclin
ath,V,At1g15690|AVP1|Arabidopsis V-PPase
ath,V,At1g15820|LHCB6|Light Harvesting Complex
ath,V,At1g15950|IRX4|CCR1|Irregular Xylem
ath,H,At1g15960|NRAMP6|Natural Resistance Associated Macrophage Protein
ath,B,At1g15980|NDH48|NDF1|NAD(P)H Dehydrogenase Subunit
ath,V,At1g16060|ADAP|ARIA-Interacting Double AP2 Domain Protein
ath,V,At1g16150|WAKL4|Wall-Associated Kinase-Like
ath,G,At1g16280|SWA3|AtRH36|Slow Walker
ath,V,At1g16410|SPS|BUS1|Supershoot
ath,V,At1g16540|ABA3|LOS5|SIR3|ABA Deficient
ath,P,At1g16590|REV7
ath,V,At1g16610|SR45|Arginine/Serine-Rich
ath,L,At1g16720|HCF173|High Chlorophyll Fluorescence
ath,P,At1g16970|KU70|Homolog of Yeast KU70
ath,V,At1g17110|UBP15|Ubiquitin-Specific Protease
ath,V,At1g17140|ICR1|RIP1|Interactor of Constitutive Active ROPS
ath,S,At1g17220|FUG1|cpIF2|Fu-Gaeri
ath,H,At1g17290|AlaAT1|Alanine Aminotransferase
ath,R,At1g17560|HLL|Huellenlos
ath,G,At1g17690|NOF1|Nucleolar Factor
ath,V,At1g17840|DSO4|ABCG11|WBC11|COF1|Desperado
ath,L,At1g17980|PAPS1|Poly(A) Polymerase
ath,V,At1g18080|RACK1A|Receptor for Activated C Kinase
ath,H,At1g18100|MFT|Mother of FT and TFL1
ath,L,At1g18370|HIK|NACK1|Hinkel
ath,V,At1g18450|ARP4|Actin-Related Protein
ath,V,At1g18500|IPMS1|Isopropylmalate Synthase
ath,B,At1g18570|MYB51|BW51A|BW5B|HIG1|MYB Domain Protein
ath,B,At1g18580|GAUT11|Galacturonosyltransferase
ath,B,At1g18730|NDF6|NDH Dependent Flow
ath,P,At1g18890|CPK10|CDPK1|Calcium-Dependent Kinase
ath,S,At1g19080|TTN10|PSF3|Titan
ath,H,At1g19220|ARF19|IAA22|ARF11|Auxin Response Factor
ath,I,At1g19250|FMO1|Flavin-Dependent Monooxygenase
ath,V,At1g19270|DA1|Da
ath,V,At1g19300|PARVUS|GATL1|GLZ1|Parvus
ath,G,At1g19520|NFD5|Nuclear Fusion Defective
ath,H,At1g19750|CSAat1B|Cockayne Syndrome A-like Protein
ath,S,At1g19800|TGD1|Trigalactosyldiacylglycerol
ath,S,At1g19850|MP|ARF5|Monopteros
ath,P,At1g20020|FNR2|LFNR2|Ferredoxin-NADP(+)-Oxidoreductase
ath,S,At1g20050|HYD1|Hydra
ath,C,At1g20090|ROP2|AtRAC4|Rho-Related Protein
ath,V,At1g20110|PDE330|Pigment Defective Embryo
ath,G,At1g20200|EMB2719|HAP15|RPN3|Embryo Defective
ath,V,At1g20330|SMT2|CVP1|FRL1|Sterol Methyltransferase
ath,V,At1g20450|ERD10|LTI29|LTI45|Early Responsive to Dehydration
ath,T,At1g20780|SAUL1|PUB44|Senescence-Associated E3 Ubiquitin Ligase
ath,B,At1g20840|TMT1|Tonoplast Monosaccharide Transporter
ath,S,At1g20960|EMB1507|Embryo Defective
ath,V,At1g20980|SPL14|FBR6|SPL1R2|Squamosa Promoter Binding Protein-Like
ath,L,At1g21270|WAK2|Wall-Associated Kinase
ath,S,At1g21310|RSH|EXT3|Root-Shoot-Hypocotyl Defective
ath,S,At1g21390|EMB2170|Embryo Defective
ath,L,At1g21600|PTAC6|Plastid Transcriptionally Active
ath,S,At1g21650|SECA2
ath,S,At1g21690|EMB1968|Embryo Defective
ath,V,At1g21700|AtSWI3C|CHB4|Switch/Sucrose Nonfermenting 3C
ath,P,At1g21760|FBP7|F-Box Protein 7
ath,H,At1g21840|UREF|Urease Accessory Protein
ath,S,At1g21970|LEC1|EMB212|Leafy Cotyledon
ath,S,At1g22090|EMB2204|Embryo Defective
ath,R,At1g22260|ZYP1a|
ath,V,At1g22270|SMO2|Small Organ
ath,R,At1g22275|ZYP1b|
ath,T,At1g22310|MBD8|Methyl-CpG Binding Domain
ath,I,At1g22400|UGT85A1|UDP-Glucosyl Transferase
ath,V,At1g22620|AtSAC1|FRA7|Suppressor of Actin
ath,L,At1g22700|PYG7|Pale Yellow Green
ath,L,At1g22710|SUC2|SUT1|Sucrose Transporter
ath,T,At1g22770|GI|FB|Gigantea
ath,V,At1g22780|PFL|RPS18A|Pointed First Leaves
ath,V,At1g22920|CSN5A|AJH1|COP9 Signalosome 5A
ath,L,At1g22940|TH1|THIE|Thiamine Requiring
ath,H,At1g23010|LPR1|Low Phosphate Root
ath,V,At1g23090|SULTR3;3|AST91|Sulfate Transporter
ath,V,At1g23310|GGT1|ADAT1|Glutamate:Glyoxylate Aminotransferase
ath,S,At1g23400|AtCAF2|Ortholog of Maize CAF2
ath,R,At1g23420|INO|Inner No Outer
ath,V,At1g24180|IAR4|ETA5|IAA-Alanine Resistant
ath,S,At1g24340|EMB2421|Embryo Defective
ath,G,At1g24450|NFD2|Nuclear Fusion Defective
ath,V,At1g24490|ALB4|ARTEMIS|Albina
ath,V,At1g24590|DRNL|SOB2|ESR2|Dornroschen-Like
ath,S,At1g24706|EMB2793|THO2|Embryo Defective
ath,G,At1g25350|OVA9|Ovule Abortion
ath,V,At1g25490|RCN1|EER1|REGA|Altered Responses to NPA
ath,I,At1g25540|PFT1|Phytochrome and Flowering Time
ath,L,At1g26110|DCP5|Decapping
ath,V,At1g26630|FBR12|ELF5A-2|Fumonisin B1-Resistant
ath,H,At1g26670|VTI1b|VTI12|Vesicle Transport V-Snare
ath,V,At1g26780|LOF1|MYB117|Lateral Organ Fusion
ath,V,At1g26910|RPL10B|Ribosomal Protein L10
ath,R,At1g27080|NRT1.6|Nitrate Transporter
ath,H,At1g27320|AHK3|Arabidopsis Histidine Kinase
ath,V,At1g27360|SPL11|Squamosa Promoter Binding Protein-Like
ath,V,At1g27370|SPL10|Squamosa Promoter Binding Protein-Like
ath,T,At1g27390|TOM20-2|Translocase of the Outer Mitochondrial Membrane
ath,C,At1g27440|IRX10|GUT2|Irregular Xylem
ath,R,At1g27450|APT1|Adenine Phosphoribosyl Transferase
ath,V,At1g27760|SAT32|Salt Tolerance
ath,P,At1g27840|CSAat1A|Cockayne Syndrome A-like Protein
ath,B,At1g27950|LTPG|Glycosylphosphatidylinositol-Anchored Lipid Protein Transfer
ath,S,At1g28300|LEC2|Leafy Cotyledon
ath,H,At1g28320|DEG15
ath,V,At1g28380|NSL1|Necrotic Spotted Lesions
ath,V,At1g28490|OSM1|SPY61|Osmotic Sensitive Mutant
ath,V,At1g28560|SRD2|Shoot Redifferentiation Defective
ath,V,At1g29260|PEX7|Peroxin
ath,V,At1g29690|CAD1|Constitutively Activated Cell Death
ath,V,At1g29900|VEN3|CarB|Venosa
ath,G,At1g29940|NRPA2|Nuclear RNA Polymerase
ath,P,At1g29990|PFD6|Prefoldin
ath,V,At1g30010|CSS1|nMat1a|Changed Sensitivity to Cellulose Synthesis Inhibitors
ath,P,At1g30270|CIPK23|SnRK3.23|LSK1|CBL-Interacting Protein Kinase
ath,R,At1g30330|ARF6|Auxin Response Factor
ath,H,At1g30400|MRP1|ABCC1|EST1|Multidrug Resistance-Associated Protein
ath,V,At1g30450|CCC1|HAP5|Cation-Chloride Co-Transporter
ath,L,At1g30520|AAE14|Acyl-Activating Enzyme
ath,S,At1g30610|EMB2279|Embryo Defective
ath,B,At1g30620|MUR4|HSR8|UXE1|Murus
ath,V,At1g30825|DIS2|ARPC2A|Distorted
ath,R,At1g30950|UFO|Unusual Floral Organs
ath,T,At1g30970|SUF4|Suppressor of Frigidia4
ath,R,At1g31140|GOA|AGL64|Gordita
ath,H,At1g31170|SRX|Sulfiredoxin
ath,B,At1g31180|IPMDH1|IMD3|Isopropylmalate Dehydrogenase
ath,G,At1g31470|NFD4|Nuclear Fusion Defective
ath,V,At1g31480|SGR2|Shoot Gravitropism
ath,B,At1g31800|CYP97A3|LUT5|Cytochrome P450-Type Monooxygenase
ath,R,At1g31810|AFH14|Formin Homology
ath,G,At1g31817|NFD3|Nuclear Fusion Defective
ath,G,At1g31860|HISN2|Histidine Auxotroph
ath,V,At1g31880|BRX|NIP3|1|NLM9|Brevis Radix
ath,V,At1g32130|IWS1|Interact-With-Spt6
ath,L,At1g32200|ATS1|ACT1|Acyltransferase
ath,V,At1g32230|RCD1|ATP8|CEO1|Radical-Induced Cell Death
ath,B,At1g32450|NRT1.5|Nitrate Transporter
ath,S,At1g32490|EMB2733|ESP3|PRP2|Embryo Defective
ath,V,At1g32990|PRPL11|Plastid Ribosomal Protein L11
ath,C,At1g33240|GTL1|GT-2-Like
ath,I,"At1g33520|MOS2|Modifier of SNC1,2"
ath,P,At1g34120|IP5PI|At5PTase1|Inositol Polyphosphate 5-Phosphatase I
ath,C,At1g34245|EPF2|Epidermal Patterning Factor
ath,H,At1g34370|STOP1|Sensitive to Proton Rhizotoxicity
ath,S,At1g34430|EMB3003|Embryo Defective
ath,S,At1g34550|EMB2756|Embryo Defective
ath,R,At1g34790|TT1|WIP1|Transparent Testa
ath,V,At1g35580|CINV1|Cytosolic Invertase
ath,P,At1g35670|AtCDPK2|CPK11|Calcium-Dependent Protein Kinase
ath,P,At1g35720|AnnAt1|OXY5|Annexin
ath,G,At1g36160|ACC1|PAS3|GK|EMB22|Acetyl CoA Carboxylase
ath,H,At1g37130|NIA2|CHL3|NR2|Nitrate Reductase
ath,V,At1g42540|GLR3.3|Glutamate Receptor
ath,C,At1g42550|PMI1|Plastid Movement Impaired
ath,S,At1g43170|EMB2207|RP1|RPL3A|Embryo Defective
ath,R,At1g43620|UGT80B1|TT15|UDP-Glucose:Sterol Glucosyltransferase
ath,H,At1g43700|SUE3|VIP1|Sulphate Utilization Efficiency
ath,G,At1g43710|EMB1075|Embryo Defective
ath,V,At1g43850|SEU|Seuss
ath,V,At1g44446|CH1|CAO|Chlorina
ath,B,At1g44575|NPQ4|PsbS|Nonphotochemical Quenching
ath,S,At1g44900|MCM2|Minichromosome Maintenance
ath,I,At1g45145|ATTRX5|ATH5|LIV1|Thioredoxin h5
ath,H,At1g46480|WOX4|Wuschel Related Homeobox
ath,P,At1g46768|RAP2.1|Related to AP2
ath,V,At1g47720|OSB1|Organellar Single-Stranded DNA Binding Protein
ath,I,At1g48050|KU80
ath,S,At1g48175|EMB2191|TAD2|Embryo Defective
ath,S,At1g48350|EMB3105|Embryo Defective
ath,C,At1g48380|RHL1|HPY7|Root Hairless
ath,V,At1g48410|AGO1|ICU9|Argonaute
ath,B,At1g48600|PMEAMT|Phosphoethanolamine N-Methyltrasnferase
ath,G,At1g48850|EMB1144|Embryo Defective
ath,V,At1g48920|PARL1|AtNUC-L1|Parallel
ath,V,At1g49040|SCD1|Stomatal Cytokinesis Defective
ath,S,At1g49400|EMB1129|Embryo Defective
ath,V,At1g49430|LACS2|SMA4|LRD2|Long-Chain Acyl-CoA Synthetase
ath,S,At1g49510|EMB1273|Embryo Defective
ath,H,At1g49540|ELP2
ath,P,At1g49720|ABF1|ABRE Binding Factor
ath,S,At1g49770|RGE1|Retarded Growth of Embryo
ath,H,At1g49820|AtMTK|Arabidopsis thaliana S-Methyl-5-Thioribose Kinase
ath,S,At1g49880|EMB3106|Embryo Defective
ath,V,At1g49970|ClpR1|SVR1|NCLPP5
ath,S,At1g50030|TOR|Target of Rapamycin
ath,G,At1g50240|FU|TIO|Fused
ath,V,At1g50320|Trxx|Thioredoxin
ath,V,At1g50430|DWF5|LE|PA|Dwarf
ath,P,At1g50460|HKL1|Hexokinase Like
ath,G,At1g50500|HIT1|AtVPS53|Heat-Intolerant
ath,L,At1g50900|GDC1|LTD|Grana Deficient Chloroplast
ath,V,At1g51190|PLT2|Plethora
ath,S,At1g51450|TRAUCO|Trauco
ath,V,At1g51500|CER5|D3|ABCG12|WBC12|Eceriferum
ath,H,At1g51760|IAR3|JR3|IAA-Alanine Resistant
ath,H,At1g51965|ABO5|ABA Overly-Sensitive
ath,C,At1g52150|ICU4|CNA|ATHB-15|Incurvata
ath,T,At1g52230|PSAH2|PSI-H|Photosystem I Subunit H2
ath,P,At1g52240|PIRF1|Phytochrome-Interacting RopGEF
ath,V,At1g52340|ABA2|SRE1|GIN1|ISI4|SIS4|ABA Deficient
ath,P,At1g52400|BGLU18|BGL1|ATBG1|Beta Glucosidase
ath,H,At1g52760|lysoPL2|Lysophospholipase
ath,C,At1g52920|GCR2|G-Protein Coupled Receptor
ath,R,At1g53500|MUM4|RHM2|Mucilage Modified
ath,S,At1g53580|ETHE1|GLX2|Similar to Human ETHE1
ath,P,At1g53670|MSRB1|Methionine Sulfoxide Reductase B
ath,I,At1g53850|PAE1|20S Proteasome Alpha Subunit
ath,V,At1g53940|GLIP2|GDSL-Motif Lipase
ath,C,At1g54030|MVP1|Modified Vacuole Phenotype
ath,B,At1g54040|TASTY|ESP|ESR|Tasty
ath,V,At1g54060|ASIL1|Arabidopsis 6b-Interacting Protein 1-Like
ath,P,"At1g54160|NF-YA5|NFYA5|Nuclear Factor Y, Subunit A5"
ath,V,At1g54340|ICDH|Isocitrate Dehydrogenase
ath,H,At1g54490|AIN1|EIN5|EIN7|XRN4|ACC Insensitive
ath,V,At1g54960|ANP2|MAPKKK2|Arabidopsis NPK1-Related Protein Kinase
ath,V,At1g54990|AXR4|RGR1|Auxin Resistant
ath,V,At1g55020|LOX1|Lipoxygenase
ath,V,At1g55180|PLDE|PLDA4|Phospholipase D
ath,V,At1g55250|HUB2|Histone Mono-Ubiquitination
ath,H,At1g55320|AAE18|Acyl-Activation Enzyme
ath,S,At1g55325|GCT|MAB2|Grand Central
ath,S,At1g55350|EMB1275|AtDEK1|Embryo Defective
ath,B,At1g55370|NDF5|NAD(P)H Dehydrogenase-Dependent Cyclic Electron Flow
ath,V,At1g55490|Cpn60{beta}|LEN1|Chaperonin 60{beta}
ath,V,At1g55580|LAS|SCL18|Lateral Suppressor
ath,S,At1g55600|MINI3|WRKY10|Mini Seed
ath,V,At1g55670|PSAG|PSI-G|Photosystem I Subunit G
ath,S,At1g55870|AtPARN|AHG2|Poly(A) Ribonuclease
ath,S,At1g55900|EMB1860|TIM50|Embryo Defective
ath,P,At1g56070|LOS1|Low Response to Osmotic Stress
ath,S,At1g56200|EMB1303|Embryo Defective
ath,H,At1g56340|CRT1a|Calreticulin
ath,I,At1g56510|WRR4|White Rust Resistance
ath,H,At1g56650|PAP1|MYB75|SIAA1|Production of Anthocyanin Pigment
ath,B,At1g57750|MAH1|CYP96A15|Mid-Chain Alkane Hydroxylase
ath,C,At1g57820|VIM1|ORTH|Variant in Methylation
ath,S,At1g58210|EMB1674|Embryo Defective
ath,V,At1g58250|SAB|Sabre
ath,H,At1g58360|AAP1|NAT2|Amino Acid Permease
ath,V,At1g58440|SQE1|DRY2|Squalene Epoxidase
ath,I,At1g59560|DAL2|DIAP1-Like Protein
ath,R,At1g59640|BPE|ZCW32|Big Petal
ath,G,At1g59820|ALA3|ITB2|Aminophospholipid ATPase
ath,I,At1g59870|PEN3|PDR8|Penetration
ath,S,At1g59990|EMB3108|Embryo Defective
ath,S,At1g60170|EMB1220|Embryo Defective
ath,G,At1g60490|AtVPS34|PI3K|Vacuolar Sorting Protein
ath,L,At1g60600|ABC4|Aberrant Chloroplast Development
ath,V,At1g60950|AtFD2|FED A|Ferredoxin
ath,B,At1g61120|TPS04|GES|Terpene Synthase
ath,H,At1g61210|DWA3|DWD Hypersensitive to ABA
ath,R,At1g61720|BAN|Banyuls
ath,B,At1g62180|2-Apr|APSR|PRH43|5'Adenylylphosphosulfate Reductase
ath,H,At1g62300|WRKY6|WRKY Transcription Factor
ath,L,At1g62340|ALE1|Abnormal Leaf Shape
ath,S,At1g62360|STM|BUM|WAM1|SHL|Shoot Meristemless
ath,V,At1g62640|KAS3|3-Ketoacyl-Acyl Carrier Protein Synthase
ath,S,At1g62750|SCO1|Snowy Cotyledon
ath,T,At1g62830|LDL1|LSD1|SWP1|LSD1-Like
ath,R,At1g62940|ACOS5|Acyl-CoA Synthetase
ath,C,At1g62990|KNAT7|IRX11|Knotted-Like Homeobox of Arabidopsis thaliana
ath,C,"At1g63000|UER1|NRS/ER|UDP-4-Keto-6-Deoxy-D-Glucose-3,5-Epimerase-4-Reductase"
ath,S,At1g63160|EMB2811|RFC5|Embryo Defective
ath,H,At1g63440|HMA5|Heavy Metal ATPase 5
ath,C,At1g63650|EGL3|EGL1|AtMYC-2|Enhancer of Glabra
ath,L,At1g63680|PDE316|APG 13|Pigment Defective Embryo
ath,S,At1g63700|YDA|EMB71|MAPKKK4|Yoda
ath,I,At1g63880
ath,I,At1g63900|DAL1|DIAP1-Like Protein
ath,L,At1g63970|IspF|MECPS|Isoprenoid
ath,R,At1g63990|SPO11-2|Sporulation 11-2
ath,H,At1g64030|SRP3|Serpin
ath,V,At1g64060|AtrbohF|Respiratory Burst Oxidase Protein
ath,I,At1g64070|RLM1|Resistance to Leptosphaeria maculans
ath,I,At1g64280|NIM1|NPR1|SAI1|Non-Induced Immunity
ath,C,At1g64440|RHD1|REB1|UGE4|Root Hair Defective
ath,V,At1g64520|RPN12a|Regulatory Particle Non-ATPase
ath,G,At1g64570|DUO3|Duo Pollen
ath,V,At1g64670|BDG1|Bodyguard
ath,B,At1g64770|NDH45|NDF2|NAD(P)H Dehydrogenase Subunit
ath,S,At1g64790|ILA|GCN1|Ilithyia
ath,V,At1g64970|TMT1|VTE4|Tocopherol Methyltransferase
ath,P,At1g65310|XTH17|Xyloglucan Endotransglucosylase/Hydrolase
ath,G,At1g65360|AGL23|Agamous-Like
ath,R,At1g65380|CLV2|RLP10|Clavata
